gene	cluster	donor	condition	n_cells	ct_transcript	ad_transcript	ct_count	ad_count	total_count	ct_ratio	ad_ratio	ad_minus_ct_ratio
NDUFS4	C18	SMC030	Control	45	NDUFS4-201	transcript73243.chr5.nnic	2.5095534	0.0	2.5095534	1.0	0.0	-1.0
NDUFS4	C10	SMC033	Control	290	NDUFS4-201	transcript73243.chr5.nnic	3.3383965	0.0	3.3383965	1.0	0.0	-1.0
NDUFS4	C10	SMC037	Active control	251	NDUFS4-201	transcript73243.chr5.nnic	2.5074797	0.0	2.5074797	1.0	0.0	-1.0
NDUFS4	C10	SMC041	AD	312	NDUFS4-201	transcript73243.chr5.nnic	3.917231	0.0	3.917231	1.0	0.0	-1.0
NDUFS4	C11	SMC049	AD	484	NDUFS4-201	transcript73243.chr5.nnic	2.9470954	0.0	2.9470954	1.0	0.0	-1.0
NDUFS7	C18	PO15	Control	34	NDUFS7-202	NDUFS7-210	2.5708776	0.0	2.5708776	1.0	0.0	-1.0
NDUFS7	C18	PO20	Control	39	NDUFS7-202	NDUFS7-210	3.020092	0.0	3.020092	1.0	0.0	-1.0
NDUFS7	C18	PO28	AD	127	NDUFS7-202	NDUFS7-210	22.595789	4.8117876	27.407578	0.82443583	0.17556414	-0.64887166
NDUFS7	C18	PO41	AD	70	NDUFS7-202	NDUFS7-210	7.7278304	0.0	7.7278304	1.0	0.0	-1.0
NDUFS7	C18	PO42	AD	68	NDUFS7-202	NDUFS7-210	3.9318256	0.0	3.9318256	1.0	0.0	-1.0
NDUFS7	C18	SMC030	Control	45	NDUFS7-202	NDUFS7-210	2.4650664	0.0	2.4650664	1.0	0.0	-1.0
NDUFS7	C18	SMC031	Active control	15	NDUFS7-202	NDUFS7-210	5.7593784	0.0	5.7593784	1.0	0.0	-1.0
NDUFS7	C18	SMC033	Control	93	NDUFS7-202	NDUFS7-210	9.121909	0.0	9.121909	1.0	0.0	-1.0
NDUFS7	C18	SMC035	Active control	55	NDUFS7-202	NDUFS7-210	15.167846	0.0	15.167846	1.0	0.0	-1.0
NDUFS7	C18	SMC037	Active control	55	NDUFS7-202	NDUFS7-210	2.5832353	0.0	2.5832353	1.0	0.0	-1.0
NDUFS7	C18	SMC049	AD	238	NDUFS7-202	NDUFS7-210	6.127996	0.0	6.127996	1.0	0.0	-1.0
