gene	insert_frac	ratio	ec_norm	pool_norm	size	len_long
STK39	0.03853211009174312	0.018352024	61.640293	1.1312242	21	545
NDUFS2	0.04338842975206612	0.020561757	63.334717	1.302273	21	484
CZIB	0.1875	0.077858	62.05219	4.8312593	30	160
ALOX15B	0.042899408284023666	0.018544244	55.640945	1.0318192	29	676
NOP2	0.0049261083743842365	0.0033638538	67.5597	0.22726095	4	812
G3BP2	0.06846473029045644	0.03493683	69.558464	2.4301522	33	482
GBF1	0.008606777837547068	0.015417967	67.795204	1.0452642	16	1859
DCAF4	0.01616161616161616	0.011288	65.61605	0.740674	8	495
CPSF6	0.06292517006802721	0.036604982	62.0513	2.2713866	37	588
UBAP2L	0.022789425706472195	0.01070826	79.82709	0.8548092	25	1097
ACER3	0.025547445255474453	0.04694871	64.86068	3.0451252	7	274
GPR107	0.03327495621716287	0.019375654	65.12805	1.2618986	19	571
PCMTD2	0.07479224376731301	0.021859182	68.25902	1.4920863	27	361
SPCS2	0.12062256809338522	0.057790842	60.784554	3.5127904	31	257
TSC1	0.005154639175257732	0.015468891	65.19009	1.0084183	6	1164
SOGA3	0.0031678986272439284	0.0034424325	67.524666	0.2324491	3	947
LETR1	0.031007751937984496	0.023963483	70.93926	1.6999518	4	129
GGA3	0.04564315352697095	0.042607836	70.52268	3.004819	33	723
DNPEP	0.0288659793814433	0.008405032	72.54443	0.6097383	14	485
PRKCSH	0.018691588785046728	0.01019799	71.054344	0.72461146	10	535
HARS1	0.07858546168958742	0.019316712	71.009766	1.3716753	40	509
DOCK6	0.01681075888568684	0.021506013	58.160503	1.2508006	35	2082
LRSAM1	0.04564315352697095	0.016200112	59.862858	0.96978503	33	723
DPP10	0.022613065326633167	0.03601366	67.44039	2.4287753	18	796
ESRRG	0.05021834061135371	0.026344897	67.26444	1.7720748	23	458
NAP1L1	0.06905370843989769	0.06889679	78.38384	5.4003954	27	391
CORO6	0.0847457627118644	0.025137784	71.58238	1.7994225	40	472
SNCA	0.1	0.051523283	72.793	3.7505343	14	140
MPP2	0.019927536231884056	0.009199034	62.722015	0.57698196	11	552
MYL6	0.033112582781456956	0.021694858	65.198814	1.414479	5	151
DCP1A	0.06529209621993128	0.029551947	68.22419	2.0161576	38	582
C1orf21	0.13008130081300814	0.07576128	66.01331	5.001253	16	123
PRORP	0.0274442538593482	0.012726224	66.80168	0.8501332	16	583
FPGS	0.044293015332197615	0.025004944	76.904175	1.9229846	26	587
CRYZL1	0.04297994269340974	0.029749166	69.46942	2.0666573	15	349
SGTA	0.10223642172523961	0.065001965	64.29868	4.1795406	32	313
NAP1L4	0.031007751937984496	0.025192406	62.79254	1.5818952	12	387
NDUFB6	0.1171875	0.050069824	71.328476	3.5714042	15	128
RPS24	0.09090909090909091	0.055973675	65.85175	3.6859646	13	143
NFIX	0.0099601593625498	0.012724483	59.776283	0.7606223	5	502
EXOSC1	0.1282051282051282	0.0828167	67.19037	5.5644846	25	195
CPSF7	0.01910828025477707	0.00845214	68.5697	0.5795607	9	471
ATE1	0.0694980694980695	0.024603926	72.66981	1.7879626	36	518
CSNK1G3	0.07017543859649122	0.037476905	69.63504	2.6097057	32	456
PDP1	0.06282722513089005	0.024830041	63.979816	1.5886215	36	573
BBS5	0.06158357771260997	0.08591959	62.45265	5.365906	21	341
SKIC2	0.018459069020866775	0.011420167	63.650047	0.7268942	23	1246
ZNF778	0.036988110964332896	0.025977198	56.74052	1.4739597	28	757
MARK3	0.05312084993359894	0.02180081	68.86135	1.5012332	40	753
PFN1	0.2857142857142857	0.12616047	54.40281	6.863484	40	140
SEMA4F	0.04285714285714286	0.017594099	75.52303	1.3287598	33	770
C8orf88	0.1937984496124031	0.12969206	56.282284	7.2993655	25	129
TUBB2A	0.07488986784140969	0.039207947	68.25373	2.6760886	34	454
CAMK2D	0.04878048780487805	0.028838621	62.836895	1.8121294	26	533
STXBP1	0.02356902356902357	0.016209833	65.31262	1.0587068	14	594
