gene	n_iso	n_type1	n_type2	canonical_dc	var_within	mean_gap	has_domain_variation
ENSG00000198131.15	3	0	1	2	0.0002265654329676181	0.015496492385864258	1
ENSG00000048028.12	4	0	0	1	8.615240221843123e-05	0.012806039303541183	0
ENSG00000082805.21	7	0	0	0	6.788900645915419e-05	0.017029179260134697	0
ENSG00000164949.8	2	0	0	1	0.0	0.0	0
ENSG00000100105.18	7	2	1	3	0.00015410303603857756	0.023952540010213852	1
ENSG00000150995.21	2	1	0	2	0.006983682978898287	0.11031772941350937	1
ENSG00000103202.13	2	0	0	0	0.0020148891489952803	0.06197422742843628	0
ENSG00000093010.15	3	0	0	0	0.00043188108247704804	0.011839725077152252	0
ENSG00000102878.18	4	0	0	0	0.00022821006132289767	0.02372937649488449	0
ENSG00000126822.18	6	3	0	2	1.1252511285420042e-05	0.003204279812052846	1
ENSG00000117523.18	5	0	0	0	0.00016728165792301297	0.021055106073617935	0
ENSG00000135956.11	8	0	0	0	3.418732376303524e-05	0.006772584281861782	0
ENSG00000162607.13	2	0	0	1	0.0	0.0	0
ENSG00000052723.12	4	0	0	0	0.002749866573140025	0.09175930172204971	0
ENSG00000161896.12	3	0	0	0	0.0005547989276237786	0.032525043934583664	0
ENSG00000135604.11	2	0	0	0	0.0	0.0	0
ENSG00000196663.16	4	0	0	0	0.0	0.0	0
ENSG00000136878.14	4	0	0	3	0.0	0.0	0
ENSG00000125447.18	9	0	0	0	0.003472875105217099	0.09797545522451401	0
ENSG00000115652.15	2	0	0	0	5.173015779291745e-06	0.002356981160119176	0
ENSG00000229589.1	3	0	0	0	5.175082208099688e-18	0.0	0
ENSG00000129353.15	18	0	0	0	0.00015584201901219785	0.02377566322684288	0
ENSG00000131368.9	7	0	0	0	0.0008720917394384742	0.04183134809136391	0
ENSG00000004766.17	2	0	0	0	1.9345902728673536e-06	0.001474246964789927	0
ENSG00000116539.14	5	0	0	4	0.0	0.0	0
ENSG00000135047.16	5	0	0	2	8.121812425088137e-05	0.013702565804123878	0
ENSG00000272391.6	2	0	0	0	0.0020113547798246145	0.05177880451083183	0
ENSG00000158158.12	10	8	0	1	0.0015157066518440843	0.07115035504102707	1
ENSG00000163682.17	3	0	0	0	4.992337562725879e-05	0.007192159537225962	0
ENSG00000197062.12	5	0	3	2	0.0003327011945657432	0.021507756784558296	1
ENSG00000141013.17	4	0	0	0	6.0086604207754135e-05	0.006159045267850161	0
ENSG00000008311.16	3	0	0	1	0.0010294506791979074	0.03853408247232437	0
ENSG00000122484.9	6	0	0	0	8.19603969014287e-17	0.0	0
ENSG00000136811.17	3	0	0	0	3.059799564653076e-05	0.0074659972451627254	0
ENSG00000173926.6	2	0	0	0	0.0	0.0	0
ENSG00000241935.9	2	0	0	0	0.0006135735893622041	0.028298258781433105	0
ENSG00000109171.15	3	0	0	0	0.00016698169929441065	0.021833987906575203	0
ENSG00000156875.14	2	0	0	1	4.753004759550095e-06	0.0016840096795931458	0
ENSG00000184634.17	6	0	0	0	0.0009165843366645277	0.05324878171086311	0
ENSG00000274070.2	6	0	0	0	2.7300738775288056e-17	0.0	0
ENSG00000219545.12	3	0	0	0	0.0005552371731027961	0.04342406243085861	0
ENSG00000129245.13	2	0	0	1	0.0	0.0	0
ENSG00000011485.15	2	0	0	2	1.8915276086772792e-05	0.0050788335502147675	0
ENSG00000140557.12	3	0	0	0	1.117175494217277e-17	0.0	0
ENSG00000005102.14	2	1	0	1	0.0012133619748055935	0.047096919268369675	1
ENSG00000103275.22	6	1	0	1	0.0026736068539321423	0.09075772762298584	1
ENSG00000089280.20	5	0	0	2	0.002366229658946395	0.05882987007498741	0
ENSG00000206053.13	2	0	0	0	2.1579531676252373e-05	0.005553210154175758	0
ENSG00000285458.1	2	0	0	0	0.0	0.0	0
ENSG00000012048.26	3	0	0	2	0.00019372464157640934	0.019827459007501602	0
ENSG00000061455.11	2	0	0	0	0.0	0.0	0
ENSG00000141510.19	10	0	0	0	7.101382379914867e-06	0.0036434666253626347	0
ENSG00000111799.22	3	2	0	2	0.0005417118081822991	0.02745755761861801	1
ENSG00000064545.15	4	0	0	0	0.00012737039651256055	0.019164640456438065	0
ENSG00000139631.20	2	0	0	0	1.0899020708166063e-05	0.003151606535539031	0
ENSG00000012232.10	7	0	0	0	0.0005907425074838102	0.02310560643672943	0
ENSG00000146926.11	2	0	1	3	2.6130534024559893e-05	0.006250604521483183	1
ENSG00000078804.13	2	0	0	0	0.0	0.0	0
ENSG00000136143.16	2	0	0	0	4.601686305250041e-05	0.008536962792277336	0
ENSG00000170456.16	2	0	1	4	6.437193223973736e-05	0.009666183963418007	1
ENSG00000214274.10	2	0	0	0	0.0	0.0	0
ENSG00000263072.11	3	0	0	0	0.005015494767576456	0.10158234089612961	0
ENSG00000145911.6	4	0	0	0	0.0005894596106372774	0.02832730859518051	0
