tissue	gene	canonical_idx	other_idx	long_idx	short_idx	canonical_is_lo	size	domain_binary	nterm_overlap	disorder_frac	resync_failure_binary
brain	A1BG	3	0	3	0	0	394	0	1	0.1212994923857868	1
brain	A1BG	3	1	3	1	0	200	0	1	0.09786243386243386	0
brain	A1BG	3	2	3	2	0	400	0	1	0.12895	1
brain	A1BG-AS1	4	5	4	5	0	31	0	0	0.06974193548387096	1
brain	A1BG-AS1	4	6	4	6	0	30	0	0	0.06566666666666666	1
brain	A1BG-AS1	4	7	4	7	0	31	0	0	0.06974193548387096	1
brain	A1BG-AS1	4	8	4	8	0	41	0	0	-0.003707317073170733	1
brain	A2ML1	15	14	15	14	0	1296	0	1	0.07947145061728396	1
brain	AAAS	21	17	21	17	0	588	1	1	0.10448732943469786	1
brain	AAAS	21	18	21	18	0	317	1	1	0.07775709779179808	1
brain	AAAS	21	19	21	19	0	410	1	1	0.09298048780487805	1
brain	AAAS	21	20	21	20	0	317	1	1	0.07775709779179808	1
brain	AAAS	21	22	21	22	0	33	0	0	-0.005242424242424235	0
brain	AAAS	21	23	21	23	0	540	1	1	0.09631836734693877	1
brain	AAAS	21	24	21	24	0	412	1	0	0.10740409207161127	1
brain	AAAS	21	25	21	25	0	321	1	1	0.07872274143302181	1
brain	AAAS	21	26	21	26	0	317	1	1	0.07775709779179808	1
brain	AACS	33	27	33	27	0	513	1	1	0.06778167641325535	1
brain	AACS	33	28	33	28	0	402	1	1	0.06829104477611939	1
brain	AACS	33	29	33	29	0	644	1	1	0.06784754098360656	1
brain	AACS	33	30	33	30	0	547	1	0	0.061893491124260354	1
brain	AACS	33	31	33	31	0	415	0	1	0.08690361445783132	1
brain	AACS	33	32	33	32	0	519	1	1	0.06756186612576064	1
brain	AADAT	34	35	34	35	0	178	0	0	0.0444438202247191	1
brain	AAGAB	38	36	38	36	0	109	0	1	0.034651376146788995	0
brain	AAGAB	38	37	38	37	0	215	0	1	0.062068965517241385	1
brain	AAK1	42	39	42	39	0	172	0	0	0.18354814814814813	1
brain	AAK1	42	40	40	42	1	416	0	0	0.21379876160990707	1
brain	AAK1	42	41	42	41	0	886	1	1	0.17285121107266438	1
brain	AAK1	42	44	42	44	0	821	1	0	0.19438124238733254	1
brain	AAMDC	47	45	45	47	1	280	0	1	0.026222222222222213	1
brain	AAMDC	47	48	48	47	1	280	0	1	0.026222222222222213	1
brain	AAMP	49	50	49	50	0	43	0	1	0.31606060606060604	0
brain	AAMP	49	51	49	51	0	138	0	0	0.06994166666666667	1
brain	AAMP	49	52	49	52	0	202	0	0	0.0749851485148515	1
brain	AAMP	49	53	53	49	1	1	0	1	0.06	0
brain	AAR2	60	54	54	60	1	90	0	0	0.0790677966101695	1
brain	AAR2	60	55	60	55	0	126	0	0	0.008454545454545458	1
brain	AAR2	60	58	60	58	0	50	0	0	0.10884	1
brain	AARS1	77	63	77	63	0	607	0	1	0.09408873720136518	1
brain	AARS1	77	64	77	64	0	242	0	0	0.12658264462809918	1
brain	AARS1	77	65	77	65	0	473	0	0	0.11206837606837607	1
brain	AARS1	77	66	77	66	0	273	0	0	0.11288362068965517	1
brain	AARS1	77	67	77	67	0	93	0	0	0.11106741573033707	1
brain	AARS1	77	68	77	68	0	62	0	1	0.055645161290322584	0
brain	AARS1	77	69	77	69	0	450	0	0	0.10457589285714286	1
brain	AARS1	77	70	77	70	0	454	0	0	0.10359911894273127	1
brain	AARS1	77	71	71	77	1	9	0	0	-0.27922222222222215	0
brain	AARS1	77	72	77	72	0	315	0	0	0.1283231292517007	1
brain	AARS1	77	73	77	73	0	794	0	1	0.08218136020151133	1
brain	AARS1	77	74	77	74	0	408	0	0	0.11266421568627452	1
brain	AARS1	77	75	77	75	0	869	0	1	0.07911560693641619	1
brain	AARS1	77	76	76	77	1	16	0	0	0.2159375	0
brain	AARS1	77	78	77	78	0	338	0	0	0.12412110726643596	1
brain	AARS1	77	79	77	79	0	338	0	0	0.12412110726643596	1
brain	AARS1	77	80	77	80	0	450	0	0	0.10457589285714286	1
brain	AARSD1	85	82	85	82	0	108	0	1	0.1350277777777778	0
brain	AARSD1	85	84	85	84	0	185	0	0	0.10086486486486486	1
brain	AASDH	86	87	86	87	0	262	0	0	0.04544705882352942	1
brain	AASDH	86	88	86	88	0	100	0	1	0.0508	0
brain	AASDH	86	89	86	89	0	258	0	0	0.04319767441860465	1
brain	AASDH	86	90	86	90	0	153	0	1	0.03914379084967319	0
brain	AASDH	86	91	86	91	0	974	0	0	0.07082801235839341	1
brain	AASDHPPT	94	92	94	92	0	171	0	0	0.089046783625731	1
brain	AASS	96	97	96	97	0	599	0	1	0.08768813559322033	1
brain	AASS	96	98	96	98	0	681	0	1	0.087071964017991	1
brain	AASS	96	99	96	99	0	512	0	1	0.0850234375	1
brain	AASS	96	100	96	100	0	471	1	0	0.08233119658119657	1
brain	AASS	96	101	96	101	0	707	0	1	0.08687977369165488	1
brain	AASS	96	102	96	102	0	472	1	0	0.08413771186440677	1
brain	AASS	96	103	96	103	0	629	0	1	0.08677547770700636	1
brain	AASS	96	105	96	105	0	671	0	1	0.08802235469448584	1
brain	AATF	107	108	107	108	0	71	0	0	0.10847887323943661	1
brain	AATF	107	110	107	110	0	71	0	0	0.08007575757575758	1
brain	AATF	107	111	107	111	0	24	0	0	0.0037083333333333413	1
brain	AATF	107	112	107	112	0	20	0	0	0.18235	1
brain	AATF	107	113	107	113	0	118	0	0	0.12167796610169496	1
brain	AATF	107	114	107	114	0	163	0	1	0.21315950920245402	0
brain	AATF	107	115	107	115	0	278	0	0	0.14663537906137186	1
brain	AATK	119	116	119	116	0	504	0	0	0.25561077844311375	1
brain	AATK	119	117	119	117	0	1212	1	1	0.1935239273927393	1
brain	AATK	119	118	119	118	0	103	0	1	0.08303883495145632	0
brain	ABCA1	124	125	125	124	1	23	0	0	0.24842105263157893	0
brain	ABCA10	127	126	127	126	0	701	0	1	0.05130532786885246	1
brain	ABCA2	131	129	131	129	0	2290	1	1	0.06614958205015398	1
brain	ABCA2	131	130	131	130	0	2006	1	1	0.06336989032901297	1
brain	ABCA2	131	132	131	132	0	1954	1	1	0.06051971326164874	1
brain	ABCA2	131	133	131	133	0	1563	1	1	0.07692653871608206	1
brain	ABCA2	131	134	131	134	0	1045	0	1	0.08520679611650485	0
brain	ABCA2	131	135	131	135	0	500	0	1	0.06860303687635574	0
brain	ABCA3	137	136	137	136	0	934	0	0	0.03696359743040684	1
brain	ABCA3	137	138	137	138	0	58	0	0	-0.0839827586206897	0
brain	ABCA5	145	140	145	140	0	777	0	1	0.014490347490347485	0
brain	ABCA5	145	146	145	146	0	1392	1	0	0.022673132183908044	1
brain	ABCA5	145	147	145	147	0	725	0	0	0.032212413793103446	1
brain	ABCA5	145	148	145	148	0	1569	1	1	0.022287917737789202	1
brain	ABCA5	145	149	145	149	0	1108	0	1	0.027068592057761735	1
brain	ABCA5	145	150	145	150	0	1392	1	0	0.022673132183908044	1
brain	ABCA6	154	152	154	152	0	1442	1	0	0.02343254520166898	1
brain	ABCA6	154	153	154	153	0	1533	0	1	0.018978877887788778	1
brain	ABCA7	158	155	158	155	0	1961	1	0	0.07870261941448381	1
brain	ABCA7	158	156	158	156	0	1055	0	1	0.0792497625830959	0
brain	ABCA7	158	157	158	157	0	1895	0	1	0.07978205804749341	1
brain	ABCA8	164	159	164	159	0	40	0	0	0.054674999999999994	0
brain	ABCA8	164	160	164	160	0	530	0	1	0.08280418250950572	0
brain	ABCA8	164	162	164	162	0	1355	1	0	0.03934022140221403	1
brain	ABCA8	164	163	164	163	0	5	0	0	0.2404	0
brain	ABCA8	164	165	164	165	0	1355	1	0	0.03934022140221403	1
brain	ABCA9	166	167	166	167	0	38	0	0	-0.1864736842105263	0
brain	ABCB6	176	173	176	173	0	541	1	1	-0.01566543438077635	1
brain	ABCB6	176	174	176	174	0	46	0	0	0.03989130434782609	0
brain	ABCB6	176	175	176	175	0	745	1	1	0.00502035278154681	1
brain	ABCB7	178	177	177	178	1	1	0	1	0.318	0
brain	ABCB7	178	179	178	179	0	53	0	1	0.18441999999999997	0
brain	ABCB7	178	180	178	180	0	103	0	0	0.14372549019607841	0
brain	ABCB7	178	181	178	181	0	79	0	1	0.056215189873417705	0
