"gene_id","feature_id","lr","df","pvalue","adj_pvalue","cell_type"
"ACSL3","ACSL3-201",0.175046248583158,1,0.675665441853152,1,"Astrocyte"
"ACSL3","ACSL3-202",0.175046248583158,1,0.675665441853152,1,"Astrocyte"
"ACSL6","ACSL6-204",0.0577803494277873,1,0.810039220557338,1,"Astrocyte"
"ACSL6","ACSL6-224",0.110956752133632,1,0.739057505314916,1,"Astrocyte"
"ACSL6","ACSL6-227",1.12767827239202,1,0.288271109890893,0.901932575260889,"Astrocyte"
"ACSS1","ACSS1-204",-0.281068199894435,1,1,1,"Astrocyte"
"ACSS1","ACSS1-205",0.409606717681527,1,0.522169187429245,0.9540850598275,"Astrocyte"
"ACSS1","ACSS1-201",0.00502929591038992,1,0.94346339242694,1,"Astrocyte"
"ACTB","ACTB-206",0.747004143890081,1,0.387426397282569,0.92674155259069,"Astrocyte"
"ACTB","ACTB-217",0.747004143890081,1,0.387426397282569,0.92674155259069,"Astrocyte"
"ACTG1","ACTG1-205",0.082117978567112,1,0.774447448680367,1,"Astrocyte"
"ACTG1","ACTG1-206",0.462046100654334,1,0.496669274708664,0.949566199374183,"Astrocyte"
"ACTG1","ACTG1-213",1.15719001727302,1,0.282049069315418,0.901932575260889,"Astrocyte"
"ADAR","transcript238794.chr1.nic",2.94395590492275,1,0.0861993870128543,0.684715885517201,"Astrocyte"
"ADAR","ADAR-227",2.94395590492275,1,0.0861993870128543,0.684715885517201,"Astrocyte"
"ADCY2","ADCY2-201",0.0721895738652165,1,0.788175039347207,1,"Astrocyte"
"ADCY2","ADCY2-204",0.0721895738652165,1,0.788175039347207,1,"Astrocyte"
"ADD3","ADD3-201",0.0248510667906885,1,0.874738739599241,1,"Astrocyte"
"ADD3","ADD3-203",0.0248510667906885,1,0.874738739599241,1,"Astrocyte"
"ADGRA3","ADGRA3-203",2.03175104584204,1,0.154043038408711,0.772199044237849,"Astrocyte"
"ADGRA3","ADGRA3-202",2.03175104584204,1,0.154043038408711,0.772199044237849,"Astrocyte"
"ADGRV1","ADGRV1-227",0.350688075835933,1,0.553723885258051,0.974239091739677,"Astrocyte"
