"gene_id","feature_id","gene_ofdr","tx_ofdr","cell_type"
"ACTB","ACTB-206",0.932104252500769,NA,"Microglia"
"ACTB","ACTB-217",0.932104252500769,NA,"Microglia"
"AFF4","AFF4-203",0.899318748763115,NA,"Microglia"
"AFF4","AFF4-201",0.899318748763115,NA,"Microglia"
"AKAP13","AKAP13-203",0.932104252500769,NA,"Microglia"
"AKAP13","AKAP13-211",0.932104252500769,NA,"Microglia"
"ANKRD12","ANKRD12-201",0.932104252500769,NA,"Microglia"
"ANKRD12","ANKRD12-203",0.932104252500769,NA,"Microglia"
"ANKRD44","ANKRD44-201",0.932104252500769,NA,"Microglia"
"ANKRD44","ANKRD44-209",0.932104252500769,NA,"Microglia"
"ANKRD44","transcript350027.chr2.nic",0.932104252500769,NA,"Microglia"
"ARHGAP15","transcript287164.chr2.nic",0.932104252500769,NA,"Microglia"
"ARHGAP15","transcript287173.chr2.nic",0.932104252500769,NA,"Microglia"
"ARID4B","ARID4B-201",0.932104252500769,NA,"Microglia"
"ARID4B","ARID4B-202",0.932104252500769,NA,"Microglia"
"ASAH1","ASAH1-225",0.932104252500769,NA,"Microglia"
"ASAH1","ASAH1-257",0.932104252500769,NA,"Microglia"
"ASH1L","ASH1L-213",0.932104252500769,NA,"Microglia"
"ASH1L","ASH1L-215",0.932104252500769,NA,"Microglia"
"ATP6V1B2","ATP6V1B2-206",0.351792820996714,NA,"Microglia"
"ATP6V1B2","ATP6V1B2-201",0.351792820996714,NA,"Microglia"
"ATRX","ATRX-202",0.932104252500769,NA,"Microglia"
"ATRX","ATRX-213",0.932104252500769,NA,"Microglia"
"ATRX","ATRX-214",0.932104252500769,NA,"Microglia"
"ATRX","ATRX-201",0.932104252500769,NA,"Microglia"
"BACH1","transcript20855.chr21.nnic",0.932104252500769,NA,"Microglia"
"BACH1","BACH1-201",0.932104252500769,NA,"Microglia"
"BAZ2B","BAZ2B-203",0.932104252500769,NA,"Microglia"
"BAZ2B","BAZ2B-202",0.932104252500769,NA,"Microglia"
"BIN2","transcript72297.chr12.nic",0.932104252500769,NA,"Microglia"
"BIN2","BIN2-207",0.932104252500769,NA,"Microglia"
"BTK","BTK-206",0.899318748763115,NA,"Microglia"
"BTK","BTK-201",0.899318748763115,NA,"Microglia"
"BTK","BTK-207",0.899318748763115,NA,"Microglia"
"C6orf62","C6orf62-202",0.932104252500769,NA,"Microglia"
"C6orf62","C6orf62-203",0.932104252500769,NA,"Microglia"
"CD163","CD163-201",0.932104252500769,NA,"Microglia"
"CD163","CD163-205",0.932104252500769,NA,"Microglia"
"CD74","CD74-202",0.932104252500769,NA,"Microglia"
"CD74","CD74-201",0.932104252500769,NA,"Microglia"
"CHD9","CHD9-213",0.932104252500769,NA,"Microglia"
"CHD9","CHD9-217",0.932104252500769,NA,"Microglia"
"CHD9","CHD9-203",0.932104252500769,NA,"Microglia"
"CTSC","CTSC-208",0.932104252500769,NA,"Microglia"
"CTSC","CTSC-207",0.932104252500769,NA,"Microglia"
"CX3CR1","CX3CR1-202",0.932104252500769,NA,"Microglia"
"CX3CR1","CX3CR1-201",0.932104252500769,NA,"Microglia"
"CYFIP1","CYFIP1-208",0.932104252500769,NA,"Microglia"
"CYFIP1","CYFIP1-207",0.932104252500769,NA,"Microglia"
"DDIT4","DDIT4-201",0.962120040913923,NA,"Microglia"
"DDIT4","DDIT4-202",0.962120040913923,NA,"Microglia"
"DDX39B","DDX39B-219",0.932104252500769,NA,"Microglia"
"DDX39B","DDX39B-215",0.932104252500769,NA,"Microglia"
"DDX5","DDX5-201",0.932104252500769,NA,"Microglia"
"DDX5","DDX5-215",0.932104252500769,NA,"Microglia"
"DDX5","DDX5-241",0.932104252500769,NA,"Microglia"
"DDX5","DDX5-239",0.932104252500769,NA,"Microglia"
"DISC1","DISC1-215",0.773393738323381,NA,"Microglia"
"DISC1","DISC1-207",0.773393738323381,NA,"Microglia"
"DOCK10","DOCK10-201",0.00115482150491605,0,"Microglia"
"DOCK10","DOCK10-202",0.00115482150491605,0,"Microglia"
"DOCK8","DOCK8-223",0.932104252500769,NA,"Microglia"
"DOCK8","DOCK8-206",0.932104252500769,NA,"Microglia"
"DOCK8","transcript99.chr9.nic",0.932104252500769,NA,"Microglia"
"DOCK8","DOCK8-204",0.932104252500769,NA,"Microglia"
"ENSG00000291073","ENST00000522841",0.932104252500769,NA,"Microglia"
"ENSG00000291073","transcript53453.chr16.nnic",0.932104252500769,NA,"Microglia"
"EPB41L3","transcript12168.chr18.nic",0.932104252500769,NA,"Microglia"
"EPB41L3","EPB41L3-204",0.932104252500769,NA,"Microglia"
"ERC1","ERC1-204",0.932104252500769,NA,"Microglia"
"ERC1","ERC1-203",0.932104252500769,NA,"Microglia"
"FGL2","FGL2-201",0.932104252500769,NA,"Microglia"
"FGL2","FGL2-202",0.932104252500769,NA,"Microglia"
"FKBP15","FKBP15-202",0.954942707917398,NA,"Microglia"
"FKBP15","FKBP15-206",0.954942707917398,NA,"Microglia"
"FNBP4","FNBP4-201",0.932104252500769,NA,"Microglia"
"FNBP4","FNBP4-213",0.932104252500769,NA,"Microglia"
"FYB1","transcript42390.chr5.nic",0.932104252500769,NA,"Microglia"
"FYB1","FYB1-208",0.932104252500769,NA,"Microglia"
"GCC2","GCC2-223",0.932104252500769,NA,"Microglia"
"GCC2","GCC2-218",0.932104252500769,NA,"Microglia"
"GOLGB1","GOLGB1-248",0.932104252500769,NA,"Microglia"
"GOLGB1","GOLGB1-208",0.932104252500769,NA,"Microglia"
"GOLGB1","GOLGB1-240",0.932104252500769,NA,"Microglia"
"GOLGB1","GOLGB1-232",0.932104252500769,NA,"Microglia"
"GPRIN3","GPRIN3-202",0.932104252500769,NA,"Microglia"
"GPRIN3","GPRIN3-201",0.932104252500769,NA,"Microglia"
