tissue	gene	canonical_idx	other_idx	long_idx	short_idx	canonical_is_lo	size	domain_binary	nterm_overlap	disorder_frac	resync_failure_binary	severity_score	domain_binary_faithful
brain	A1BG	3	0	3	0	0	394	0	1	0.1212994923857868	1	0.9498960971832277	1
brain	A1BG	3	1	3	1	0	200	0	1	0.0978624338624338	0	1.2759363651275637	0
brain	A1BG	3	2	3	2	0	400	0	1	0.12895	1	0.7058072686195374	1
brain	A1BG-AS1	4	5	4	5	0	31	0	0	0.0697419354838709	1	-0.9182524681091307	0
brain	A1BG-AS1	4	6	4	6	0	30	0	0	0.0656666666666666	1	-0.8648490905761719	0
brain	A1BG-AS1	4	7	4	7	0	31	0	0	0.0697419354838709	1	-0.9182524681091307	0
brain	A1BG-AS1	4	8	4	8	0	41	0	0	-0.0037073170731707	1	-1.180728316307068	0
brain	A2ML1	15	14	15	14	0	1296	0	1	0.0794714506172839	1	5.077661037445068	1
brain	AAAS	21	17	21	17	0	588	1	1	0.1044873294346978	1	15.29525375366211	1
brain	AAAS	21	18	21	18	0	317	1	1	0.077757097791798	1	3.3114354610443115	1
brain	AAAS	21	19	21	19	0	410	1	1	0.092980487804878	1	2.78943395614624	1
brain	AAAS	21	20	21	20	0	317	1	1	0.077757097791798	1	3.3114354610443115	1
brain	AAAS	21	22	21	22	0	33	0	0	-0.0052424242424242	0	0.1671177595853805	0
brain	AAAS	21	23	21	23	0	540	1	1	0.0963183673469387	1	14.25396728515625	1
brain	AAAS	21	24	21	24	0	412	1	0	0.1074040920716112	1	13.451859474182127	1
brain	AAAS	21	25	21	25	0	321	1	1	0.0787227414330218	1	3.641978025436402	1
brain	AAAS	21	26	21	26	0	317	1	1	0.077757097791798	1	3.3114354610443115	1
brain	AACS	33	27	33	27	0	513	1	1	0.0677816764132553	1	4.901531219482422	1
brain	AACS	33	28	33	28	0	402	1	1	0.0682910447761193	1	1.945767283439636	1
brain	AACS	33	29	33	29	0	644	1	1	0.0678475409836065	1	28.2027587890625	1
brain	AACS	33	30	33	30	0	547	1	0	0.0618934911242603	1	20.917415618896484	1
brain	AACS	33	31	33	31	0	415	0	1	0.0869036144578313	1	-0.2379489243030548	1
brain	AACS	33	32	33	32	0	519	1	1	0.0675618661257606	1	2.989534378051758	1
brain	AADAT	34	35	34	35	0	178	0	0	0.0444438202247191	1	0.6962913274765015	1
brain	AAGAB	38	36	38	36	0	109	0	1	0.0346513761467889	0	8.909585952758789	0
brain	AAGAB	38	37	38	37	0	215	0	1	0.0620689655172413	1	14.85573673248291	1
brain	AAK1	42	39	42	39	0	172	0	0	0.1835481481481481	1	1.0839824676513672	0
brain	AAK1	42	40	40	42	1	416	0	0	0.213798761609907	1	-1.796295166015625	1
brain	AAK1	42	41	42	41	0	886	1	1	0.1728512110726643	1	18.54899406433105	1
brain	AAK1	42	44	42	44	0	821	1	0	0.1943812423873325	1	3.231722831726074	1
brain	AAMDC	47	45	45	47	1	280	0	1	0.0262222222222222	1	-10.636569023132324	1
brain	AAMDC	47	48	48	47	1	280	0	1	0.0262222222222222	1	-10.636569023132324	1
brain	AAMP	49	50	49	50	0	43	0	1	0.316060606060606	0	0.4773803055286407	0
brain	AAMP	49	51	49	51	0	138	0	0	0.0699416666666666	1	2.99717116355896	1
brain	AAMP	49	52	49	52	0	202	0	0	0.0749851485148515	1	3.158395767211914	1
brain	AAMP	49	53	53	49	1	1	0	1	0.06	0	-0.0169284231960773	0
brain	AAR2	60	54	54	60	1	90	0	0	0.0790677966101695	1	-0.8245447874069214	1
brain	AAR2	60	55	60	55	0	126	0	0	0.0084545454545454	1	0.721651554107666	1
brain	AAR2	60	58	60	58	0	50	0	0	0.10884	1	-0.8646667003631592	1
brain	AARS1	77	63	77	63	0	607	0	1	0.0940887372013651	1	3.232495784759521	1
brain	AARS1	77	64	77	64	0	242	0	0	0.1265826446280991	1	0.251290500164032	1
brain	AARS1	77	65	77	65	0	473	0	0	0.112068376068376	1	1.794001579284668	1
brain	AARS1	77	66	77	66	0	273	0	0	0.1128836206896551	1	1.2228307723999023	1
brain	AARS1	77	67	77	67	0	93	0	0	0.111067415730337	1	1.7181415557861328	1
brain	AARS1	77	68	77	68	0	62	0	1	0.0556451612903225	0	0.3685087859630584	1
brain	AARS1	77	69	77	69	0	450	0	0	0.1045758928571428	1	2.414822578430176	1
brain	AARS1	77	70	77	70	0	454	0	0	0.1035991189427312	1	2.0560431480407715	1
brain	AARS1	77	71	71	77	1	9	0	0	-0.2792222222222221	0	-0.3548107147216797	0
brain	AARS1	77	72	77	72	0	315	0	0	0.1283231292517007	1	0.288130909204483	1
brain	AARS1	77	73	77	73	0	794	0	1	0.0821813602015113	1	2.035771131515503	1
brain	AARS1	77	74	77	74	0	408	0	0	0.1126642156862745	1	2.661508798599243	1
brain	AARS1	77	75	77	75	0	869	0	1	0.0791156069364161	1	16.260379791259766	1
brain	AARS1	77	76	76	77	1	16	0	0	0.2159375	0	-0.3429429531097412	1
brain	AARS1	77	78	77	78	0	338	0	0	0.1241211072664359	1	0.7609949111938477	1
brain	AARS1	77	79	77	79	0	338	0	0	0.1241211072664359	1	0.7609949111938477	1
brain	AARS1	77	80	77	80	0	450	0	0	0.1045758928571428	1	2.414822578430176	1
brain	AARSD1	85	82	85	82	0	108	0	1	0.1350277777777778	0	2.2739362716674805	0
brain	AARSD1	85	84	85	84	0	185	0	0	0.1008648648648648	1	-0.6465311646461487	1
brain	AASDH	86	87	86	87	0	262	0	0	0.0454470588235294	1	1.0337681770324707	1
brain	AASDH	86	88	86	88	0	100	0	1	0.0508	0	1.0230265855789185	1
brain	AASDH	86	89	86	89	0	258	0	0	0.0431976744186046	1	0.3932531177997589	1
brain	AASDH	86	90	86	90	0	153	0	1	0.0391437908496731	0	0.8983663320541382	1
brain	AASDH	86	91	86	91	0	974	0	0	0.0708280123583934	1	-3.829991102218628	1
brain	AASDHPPT	94	92	94	92	0	171	0	0	0.089046783625731	1	21.157604217529297	1
brain	AASS	96	97	96	97	0	599	0	1	0.0876881355932203	1	2.525824546813965	1
brain	AASS	96	98	96	98	0	681	0	1	0.087071964017991	1	0.2384861707687378	1
brain	AASS	96	99	96	99	0	512	0	1	0.0850234375	1	0.248557761311531	1
brain	AASS	96	100	96	100	0	471	1	0	0.0823311965811965	1	1.277194261550903	1
brain	AASS	96	101	96	101	0	707	0	1	0.0868797736916548	1	1.8770127296447756	1
brain	AASS	96	102	96	102	0	472	1	0	0.0841377118644067	1	1.1318541765213013	1
brain	AASS	96	103	96	103	0	629	0	1	0.0867754777070063	1	3.959165573120117	1
brain	AASS	96	105	96	105	0	671	0	1	0.0880223546944858	1	-0.1269150674343109	1
brain	AATF	107	108	107	108	0	71	0	0	0.1084788732394366	1	0.7261680364608765	1
brain	AATF	107	110	107	110	0	71	0	0	0.0800757575757575	1	0.7060253620147705	1
brain	AATF	107	111	107	111	0	24	0	0	0.0037083333333333	1	-0.0693795382976532	1
brain	AATF	107	112	107	112	0	20	0	0	0.18235	1	-0.0386722199618816	1
brain	AATF	107	113	107	113	0	118	0	0	0.1216779661016949	1	1.1022069454193115	1
brain	AATF	107	114	107	114	0	163	0	1	0.213159509202454	0	0.2046679854393005	0
brain	AATF	107	115	107	115	0	278	0	0	0.1466353790613718	1	2.662599802017212	1
brain	AATK	119	116	119	116	0	504	0	0	0.2556107784431137	1	-0.0707920789718627	0
brain	AATK	119	117	119	117	0	1212	1	1	0.1935239273927393	1	5.315174102783203	1
brain	AATK	119	118	119	118	0	103	0	1	0.0830388349514563	0	0.5089489221572876	0
brain	ABCA1	124	125	125	124	1	23	0	0	0.2484210526315789	0	0.0	0
brain	ABCA10	127	126	127	126	0	701	0	1	0.0513053278688524	1	-1.342775583267212	1
brain	ABCA2	131	129	131	129	0	2290	1	1	0.0661495820501539	1	12.119935989379885	1
brain	ABCA2	131	130	131	130	0	2006	1	1	0.0633698903290129	1	7.824146270751953	1
brain	ABCA2	131	132	131	132	0	1954	1	1	0.0605197132616487	1	5.540722846984863	1
brain	ABCA2	131	133	131	133	0	1563	1	1	0.076926538716082	1	0.8962998986244202	1
brain	ABCA2	131	134	131	134	0	1045	0	1	0.0852067961165048	0	-6.245771408081055	1
brain	ABCA2	131	135	131	135	0	500	0	1	0.0686030368763557	0	0.992562770843506	1
brain	ABCA3	137	136	137	136	0	934	0	0	0.0369635974304068	1	-2.081437587738037	1
brain	ABCA3	137	138	137	138	0	58	0	0	-0.0839827586206897	0	1.3037625551223757	1
brain	ABCA5	145	140	145	140	0	777	0	1	0.0144903474903474	0	-0.0386663824319839	1
brain	ABCA5	145	146	145	146	0	1392	1	0	0.022673132183908	1	6.762430191040039	1
brain	ABCA5	145	147	145	147	0	725	0	0	0.0322124137931034	1	-0.6566976308822632	1
brain	ABCA5	145	148	145	148	0	1569	1	1	0.0222879177377892	1	24.349958419799805	1
brain	ABCA5	145	149	145	149	0	1108	0	1	0.0270685920577617	1	-1.8723533153533936	1
brain	ABCA5	145	150	145	150	0	1392	1	0	0.022673132183908	1	6.762430191040039	1
brain	ABCA6	154	152	154	152	0	1442	1	0	0.0234325452016689	1	9.997926712036133	1
brain	ABCA6	154	153	154	153	0	1533	0	1	0.0189788778877887	1	8.175759315490723	1
brain	ABCA7	158	155	158	155	0	1961	1	0	0.0787026194144838	1	9.01323413848877	1
brain	ABCA7	158	156	158	156	0	1055	0	1	0.0792497625830959	0	0.2814810574054718	1
brain	ABCA7	158	157	158	157	0	1895	0	1	0.0797820580474934	1	-5.473800659179688	1
brain	ABCA8	164	159	164	159	0	40	0	0	0.0546749999999999	0	0.2247001826763153	1
